report_investigation_date,county,age_group,sex,case_count
2020-03-06,MARION,40-49,M,1
2020-03-08,HENDRICKS,0-19,F,1
2020-03-08,HENDRICKS,40-49,M,1
2020-03-08,NOBLE,50-59,M,1
2020-03-09,ADAMS,60-69,M,1
2020-03-10,BOONE,50-59,F,1
2020-03-10,HOWARD,60-69,M,1
2020-03-10,JOHNSON,60-69,M,1
2020-03-10,JOHNSON,80+,F,1
2020-03-10,JOHNSON,60-69,F,1
2020-03-11,MARION,20-29,M,1
2020-03-12,ST JOSEPH,50-59,M,1
2020-03-13,LAPORTE,50-59,M,1
2020-03-13,MARION,60-69,F,1
2020-03-13,WELLS,50-59,F,1
2020-03-15,BARTHOLOMEW,70-79,M,1
2020-03-15,FLOYD,70-79,M,1
2020-03-15,HAMILTON,60-69,M,1
2020-03-15,HENDRICKS,30-39,M,1
2020-03-15,HOWARD,40-49,F,1
2020-03-15,JOHNSON,30-39,F,1
2020-03-15,MARION,30-39,F,2
2020-03-15,MARION,70-79,U,1
2020-03-15,MARION,80+,M,1
2020-03-15,MARION,60-69,M,1
2020-03-16,FRANKLIN,60-69,M,1
2020-03-16,FRANKLIN,40-49,U,1
2020-03-16,LAKE,40-49,M,1
2020-03-16,LAKE,50-59,F,1
2020-03-17,CLARK,50-59,F,1
2020-03-17,FAYETTE,50-59,F,1
2020-03-17,HAMILTON,70-79,M,1
2020-03-17,HENDRICKS,40-49,F,1
2020-03-17,JENNINGS,50-59,F,1
2020-03-17,LAKE,20-29,M,1
2020-03-17,MADISON,60-69,F,1
2020-03-17,MARION,70-79,U,1
2020-03-17,MARION,80+,M,1
2020-03-18,FAYETTE,60-69,M,1
2020-03-18,HOWARD,20-29,F,1
2020-03-18,HOWARD,50-59,F,1
2020-03-18,LAKE,20-29,M,1
2020-03-18,MARION,30-39,M,1
2020-03-18,MARION,60-69,M,1
2020-03-18,MARION,60-69,F,1
2020-03-18,MARION,30-39,F,1
2020-03-18,MARION,80+,F,1
2020-03-18,MARION,70-79,M,1
2020-03-18,MARION,50-59,M,1
2020-03-18,MARION,50-59,F,1
2020-03-18,MIAMI,20-29,F,1
2020-03-18,OWEN,50-59,M,1
2020-03-18,ST JOSEPH,20-29,M,1
2020-03-18,ST JOSEPH,0-19,M,1
2020-03-18,TIPPECANOE,60-69,M,1
2020-03-19,ALLEN,20-29,F,1
2020-03-19,FLOYD,60-69,M,1
2020-03-19,GRANT,80+,F,1
2020-03-19,HAMILTON,40-49,U,1
2020-03-19,HAMILTON,60-69,M,1
2020-03-19,HAMILTON,50-59,M,1
2020-03-19,HAMILTON,30-39,F,1
2020-03-19,JOHNSON,40-49,U,1
2020-03-19,LAKE,40-49,M,1
2020-03-19,LAKE,20-29,F,1
2020-03-19,MARION,0-19,M,1
2020-03-19,MARION,30-39,M,1
2020-03-19,MARION,50-59,M,2
2020-03-19,MARION,40-49,F,1
2020-03-19,MARION,60-69,U,1
2020-03-19,SHELBY,40-49,M,1
2020-03-19,ST JOSEPH,30-39,M,1
2020-03-19,ST JOSEPH,30-39,F,2
2020-03-19,TIPPECANOE,30-39,F,1
2020-03-19,VANDERBURGH,20-29,F,1
2020-03-19,VIGO,60-69,M,1
2020-03-20,ALLEN,40-49,F,1
2020-03-20,ALLEN,60-69,M,2
2020-03-20,CLARK,50-59,M,1
2020-03-20,CLARK,40-49,F,1
2020-03-20,CLARK,20-29,F,1
2020-03-20,DELAWARE,30-39,M,1
2020-03-20,ELKHART,50-59,F,1
2020-03-20,FLOYD,70-79,M,1
2020-03-20,HAMILTON,20-29,F,2
2020-03-20,HAMILTON,50-59,M,2
2020-03-20,HAMILTON,40-49,M,1
2020-03-20,HENDRICKS,60-69,M,1
2020-03-20,HENDRICKS,50-59,M,1
2020-03-20,JOHNSON,0-19,M,1
2020-03-20,JOHNSON,40-49,F,1
2020-03-20,LAKE,50-59,M,1
2020-03-20,LAPORTE,20-29,F,1
2020-03-20,MADISON,50-59,M,1
2020-03-20,MARION,20-29,M,2
2020-03-20,MARION,80+,M,1
2020-03-20,MARION,50-59,F,3
2020-03-20,MARION,60-69,F,1
2020-03-20,MARION,80+,F,1
2020-03-20,MARION,50-59,M,1
2020-03-20,MARION,30-39,M,1
2020-03-20,MARION,70-79,F,1
2020-03-20,MARION,40-49,F,3
2020-03-20,MARION,40-49,M,5
2020-03-20,MARION,30-39,F,1
2020-03-20,MARION,20-29,F,2
2020-03-20,SCOTT,50-59,F,1
2020-03-20,VIGO,30-39,U,1
2020-03-21,BARTHOLOMEW,20-29,M,1
2020-03-21,BARTHOLOMEW,70-79,F,2
2020-03-21,BOONE,60-69,F,1
2020-03-21,BROWN,60-69,F,1
2020-03-21,DELAWARE,80+,F,1
2020-03-21,DUBOIS,20-29,F,1
2020-03-21,FLOYD,70-79,F,1
2020-03-21,FRANKLIN,70-79,M,1
2020-03-21,FRANKLIN,60-69,F,1
2020-03-21,GRANT,80+,F,1
2020-03-21,HAMILTON,70-79,M,1
2020-03-21,HAMILTON,40-49,F,1
2020-03-21,HAMILTON,70-79,F,2
2020-03-21,HAMILTON,80+,F,1
2020-03-21,HAMILTON,50-59,M,2
2020-03-21,HAMILTON,50-59,F,2
2020-03-21,HANCOCK,50-59,F,1
2020-03-21,HENDRICKS,70-79,U,1
2020-03-21,HENDRICKS,50-59,F,1
2020-03-21,HOWARD,50-59,F,1
2020-03-21,JENNINGS,40-49,M,1
2020-03-21,JOHNSON,40-49,M,1
2020-03-21,JOHNSON,70-79,U,1
2020-03-21,JOHNSON,70-79,M,1
2020-03-21,JOHNSON,60-69,M,1
2020-03-21,JOHNSON,40-49,F,1
2020-03-21,LAKE,80+,F,1
2020-03-21,LAKE,70-79,M,1
2020-03-21,LAKE,40-49,M,1
2020-03-21,MADISON,20-29,F,1
2020-03-21,MARION,70-79,M,1
2020-03-21,MARION,70-79,F,2
2020-03-21,MARION,60-69,F,4
2020-03-21,MARION,50-59,M,3
2020-03-21,MARION,40-49,F,1
2020-03-21,MARION,60-69,M,8
2020-03-21,MARION,50-59,F,6
2020-03-21,MARION,30-39,F,3
2020-03-21,MARION,20-29,F,4
2020-03-21,MARION,40-49,M,1
2020-03-21,MARION,30-39,M,2
2020-03-21,MONROE,20-29,F,1
2020-03-21,RIPLEY,50-59,F,1
2020-03-21,ST JOSEPH,40-49,M,1
2020-03-21,ST JOSEPH,70-79,F,1
2020-03-21,TIPTON,80+,M,1
2020-03-21,WASHINGTON,80+,F,1
2020-03-22,ALLEN,70-79,F,1
2020-03-22,ALLEN,70-79,M,1
2020-03-22,DELAWARE,70-79,F,1
2020-03-22,ELKHART,70-79,F,1
2020-03-22,ELKHART,30-39,M,1
2020-03-22,ELKHART,60-69,F,1
2020-03-22,FLOYD,50-59,F,1
2020-03-22,FLOYD,60-69,F,1
2020-03-22,GRANT,60-69,M,1
2020-03-22,HAMILTON,50-59,F,1
2020-03-22,HAMILTON,40-49,F,1
2020-03-22,HAMILTON,30-39,M,1
2020-03-22,HANCOCK,0-19,M,1
2020-03-22,HENDRICKS,70-79,F,1
2020-03-22,HENDRICKS,20-29,F,1
2020-03-22,HENDRICKS,50-59,F,1
2020-03-22,HENDRICKS,40-49,M,1
2020-03-22,JENNINGS,70-79,F,1
2020-03-22,JOHNSON,70-79,M,2
2020-03-22,LAKE,40-49,F,1
2020-03-22,MADISON,70-79,M,1
2020-03-22,MARION,70-79,F,3
2020-03-22,MARION,60-69,M,3
2020-03-22,MARION,80+,M,2
2020-03-22,MARION,50-59,U,1
2020-03-22,MARION,30-39,M,2
2020-03-22,MARION,40-49,F,1
2020-03-22,MARION,50-59,M,3
2020-03-22,MARION,30-39,F,1
2020-03-22,MARION,70-79,M,1
2020-03-22,MARION,60-69,F,2
2020-03-22,MARION,80+,F,3
2020-03-22,MARION,20-29,F,2
2020-03-22,MARION,50-59,F,3
2020-03-22,MONROE,60-69,F,1
2020-03-22,MONROE,60-69,M,1
2020-03-22,MONROE,20-29,F,1
2020-03-22,MORGAN,20-29,M,1
2020-03-22,MORGAN,30-39,F,1
2020-03-22,ST JOSEPH,20-29,M,1
2020-03-22,TIPTON,70-79,F,1
2020-03-22,WASHINGTON,80+,F,1
2020-03-23,ALLEN,30-39,F,1
2020-03-23,DEARBORN,60-69,M,1
2020-03-23,DEARBORN,50-59,M,1
2020-03-23,DECATUR,80+,F,1
2020-03-23,DECATUR,40-49,M,1
2020-03-23,DECATUR,20-29,M,1
2020-03-23,DECATUR,50-59,M,1
2020-03-23,DECATUR,60-69,F,1
2020-03-23,DELAWARE,40-49,F,1
2020-03-23,FLOYD,70-79,M,1
2020-03-23,FLOYD,60-69,M,1
2020-03-23,FRANKLIN,40-49,F,1
2020-03-23,FRANKLIN,50-59,F,1
2020-03-23,FRANKLIN,80+,M,1
2020-03-23,FRANKLIN,50-59,M,1
2020-03-23,FRANKLIN,60-69,M,1
2020-03-23,GIBSON,30-39,M,1
2020-03-23,GIBSON,70-79,F,1
2020-03-23,HAMILTON,60-69,M,1
2020-03-23,HAMILTON,80+,M,1
2020-03-23,HAMILTON,50-59,F,1
2020-03-23,HANCOCK,30-39,M,2
2020-03-23,HANCOCK,70-79,F,1
2020-03-23,HENDRICKS,80+,F,1
2020-03-23,JACKSON,70-79,F,1
2020-03-23,JOHNSON,80+,M,1
2020-03-23,JOHNSON,30-39,F,1
2020-03-23,JOHNSON,40-49,M,2
2020-03-23,LAKE,40-49,F,1
2020-03-23,LAKE,20-29,M,2
2020-03-23,LAKE,40-49,M,3
2020-03-23,LAWRENCE,60-69,M,1
2020-03-23,MARION,50-59,F,4
2020-03-23,MARION,60-69,M,8
2020-03-23,MARION,60-69,U,1
2020-03-23,MARION,30-39,F,5
2020-03-23,MARION,40-49,F,4
2020-03-23,MARION,60-69,F,3
2020-03-23,MARION,70-79,M,3
2020-03-23,MARION,20-29,F,3
2020-03-23,MARION,80+,M,4
2020-03-23,MARION,70-79,F,5
2020-03-23,MARION,30-39,M,3
2020-03-23,MARION,50-59,M,6
2020-03-23,MARION,20-29,M,2
2020-03-23,MONTGOMERY,80+,M,1
2020-03-23,MORGAN,50-59,F,1
2020-03-23,OHIO,30-39,M,1
2020-03-23,PORTER,40-49,F,1
2020-03-23,RIPLEY,20-29,M,1
2020-03-23,RIPLEY,50-59,M,1
2020-03-23,RIPLEY,40-49,F,1
2020-03-23,ST JOSEPH,50-59,F,1
2020-03-23,ST JOSEPH,70-79,M,1
2020-03-23,ST JOSEPH,40-49,F,1
2020-03-23,ST JOSEPH,60-69,F,1
2020-03-23,ST JOSEPH,20-29,M,1
2020-03-23,ST JOSEPH,30-39,M,1
2020-03-23,STARKE,0-19,F,1
2020-03-23,SULLIVAN,30-39,F,1
2020-03-23,TIPPECANOE,20-29,M,1
2020-03-23,VIGO,30-39,M,1
2020-03-24,BOONE,40-49,F,1
2020-03-24,CLARK,30-39,M,1
2020-03-24,DECATUR,40-49,F,1
2020-03-24,DEKALB,50-59,M,1
2020-03-24,DELAWARE,50-59,F,1
2020-03-24,DELAWARE,70-79,F,1
2020-03-24,DELAWARE,60-69,M,1
2020-03-24,ELKHART,40-49,F,1
2020-03-24,FAYETTE,50-59,F,1
2020-03-24,HAMILTON,60-69,M,1
2020-03-24,HAMILTON,40-49,M,1
2020-03-24,HAMILTON,50-59,F,1
2020-03-24,HAMILTON,20-29,F,1
2020-03-24,HAMILTON,30-39,F,2
2020-03-24,HAMILTON,80+,M,1
2020-03-24,HANCOCK,50-59,M,1
2020-03-24,HANCOCK,40-49,M,1
2020-03-24,HANCOCK,80+,M,1
2020-03-24,HARRISON,60-69,F,1
2020-03-24,HENDRICKS,40-49,M,1
2020-03-24,HENDRICKS,80+,M,1
2020-03-24,JASPER,70-79,M,1
2020-03-24,JENNINGS,60-69,F,1
2020-03-24,JOHNSON,30-39,F,2
2020-03-24,JOHNSON,70-79,U,1
2020-03-24,JOHNSON,50-59,F,1
2020-03-24,JOHNSON,40-49,F,1
2020-03-24,JOHNSON,80+,M,1
2020-03-24,LAKE,80+,M,1
2020-03-24,LAKE,60-69,M,1
2020-03-24,MADISON,50-59,F,1
2020-03-24,MARION,20-29,F,3
2020-03-24,MARION,60-69,F,8
2020-03-24,MARION,30-39,F,11
2020-03-24,MARION,40-49,M,5
2020-03-24,MARION,70-79,F,4
2020-03-24,MARION,80+,M,3
2020-03-24,MARION,40-49,F,6
2020-03-24,MARION,80+,F,3
2020-03-24,MARION,60-69,M,3
2020-03-24,MARION,40-49,U,1
2020-03-24,MARION,70-79,M,4
2020-03-24,MARION,50-59,F,5
2020-03-24,MARION,30-39,M,1
2020-03-24,MARION,50-59,M,6
