state,county,cases,deaths,cases2,deaths2,date1,date2
Colorado,Summit,10,0,9,0,2020-03-24,2020-03-25
Ohio,Geauga,5,0,4,0,2020-03-24,2020-03-25
South Carolina,Lexington,19,1,18,1,2020-03-24,2020-03-25
Tennessee,Weakley,1,0,0,0,2020-03-24,2020-03-25
Virginia,Rockingham,3,0,2,0,2020-03-24,2020-03-25
Washington,Grant,27,0,26,0,2020-03-24,2020-03-25
Washington,Benton,12,2,10,2,2020-03-24,2020-03-25
Wisconsin,Chippewa,2,0,1,0,2020-03-24,2020-03-25
Florida,Manatee,26,1,25,1,2020-03-25,2020-03-26
Georgia,Baker,3,1,1,1,2020-03-25,2020-03-26
Idaho,Bannock,3,0,2,0,2020-03-25,2020-03-26
Illinois,Logan,1,0,0,0,2020-03-25,2020-03-26
Iowa,Pottawattamie,4,0,3,0,2020-03-25,2020-03-26
Michigan,Newaygo,2,0,1,0,2020-03-25,2020-03-26
North Carolina,Wayne,2,0,1,0,2020-03-25,2020-03-26
North Carolina,Jackson,1,0,0,0,2020-03-25,2020-03-26
Tennessee,Houston,3,0,2,0,2020-03-25,2020-03-26
Utah,Weber,10,0,8,0,2020-03-25,2020-03-26
West Virginia,Preston,2,0,1,0,2020-03-25,2020-03-26
West Virginia,Ohio,2,0,1,0,2020-03-25,2020-03-26
Wisconsin,Fond du Lac,18,1,17,1,2020-03-25,2020-03-26
Georgia,Laurens,8,0,7,0,2020-03-26,2020-03-27
Georgia,Dawson,3,0,2,0,2020-03-26,2020-03-27
Georgia,Greene,2,0,1,0,2020-03-26,2020-03-27
Georgia,Telfair,1,0,0,0,2020-03-26,2020-03-27
Georgia,Walton,1,0,0,0,2020-03-26,2020-03-27
Louisiana,Ascension,91,1,90,1,2020-03-26,2020-03-27
Louisiana,Morehouse,3,0,2,0,2020-03-26,2020-03-27
Mississippi,Adams,3,0,2,0,2020-03-26,2020-03-27
Mississippi,Amite,1,0,0,0,2020-03-26,2020-03-27
Texas,Terry,3,0,1,0,2020-03-26,2020-03-27
Texas,Walker,3,0,2,0,2020-03-26,2020-03-27
West Virginia,Monongalia,24,0,23,0,2020-03-26,2020-03-27
Arizona,Graham,4,0,2,0,2020-03-27,2020-03-28
Arkansas,Hempstead,1,0,0,0,2020-03-27,2020-03-28
Arkansas,Hot Spring,2,0,1,0,2020-03-27,2020-03-28
Arkansas,Lawrence,3,0,1,0,2020-03-27,2020-03-28
Colorado,Delta,2,0,1,0,2020-03-27,2020-03-28
Colorado,Kit Carson,2,0,1,0,2020-03-27,2020-03-28
Georgia,Troup,11,1,9,1,2020-03-27,2020-03-28
Idaho,Canyon,23,1,22,1,2020-03-27,2020-03-28
Indiana,Lawrence,5,0,4,0,2020-03-27,2020-03-28
Indiana,Rush,3,0,2,0,2020-03-27,2020-03-28
Indiana,Marshall,4,0,3,0,2020-03-27,2020-03-28
Iowa,Black Hawk,7,0,6,0,2020-03-27,2020-03-28
Kentucky,Franklin,3,0,2,0,2020-03-27,2020-03-28
Louisiana,Lincoln,7,0,6,0,2020-03-27,2020-03-28
Louisiana,Jackson,3,0,2,0,2020-03-27,2020-03-28
Michigan,Luce,1,0,0,0,2020-03-27,2020-03-28
Ohio,Ashland,3,0,2,0,2020-03-27,2020-03-28
Ohio,Seneca,2,0,1,0,2020-03-27,2020-03-28
Pennsylvania,Union,1,0,0,0,2020-03-27,2020-03-28
Tennessee,Bradley,6,0,5,0,2020-03-27,2020-03-28
Texas,Angelina,2,0,1,0,2020-03-27,2020-03-28
Washington,Snohomish,913,23,912,23,2020-03-27,2020-03-28
Alabama,Lauderdale,13,1,12,1,2020-03-28,2020-03-29
Arizona,Yavapai,13,0,12,0,2020-03-28,2020-03-29
Florida,Leon,17,0,16,0,2020-03-28,2020-03-29
Georgia,Fulton,378,13,425,12,2020-03-28,2020-03-29
Georgia,Barrow,7,1,6,1,2020-03-28,2020-03-29
Indiana,Hendricks,36,2,48,1,2020-03-28,2020-03-29
Louisiana,Vermilion,3,1,2,1,2020-03-28,2020-03-29
